(Almost) Original Fragment,Fragment,Tags,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
here’s a heart within will not be quiet.,here’s a heart within will not be quiet.,0 0 1 1 0 0 0 1,anatomy,spatial,feelings,,,,
The eye is the sweet feeder of the soul;,The eye is the sweet feeder of the soul,0 1 0 0 1 1 0 0 1,anatomy,food,religion,,,,
"When the taste wants, that keeps the memory whole.","When the taste wants, that keeps the memory whole.",0 0 1 1 0 1 0 1 1,food,feelings,preservation,mental faculty & state,,,
"not to see her, what doth it want of hell?","not to see her, what doth it want of hell?",0 0 1 1 0 0 0 1 0 1,sensations,women,privation,religion,,,
he’ll run through horror’s jaws To catch a sin. ,he’ll run through horror’s jaws To catch a sin. ,0 1 1 1 1 0 1 0 1,movement,spatial,emotions,anatomy,hunting,religion,
"to o’ertake a virtue He softly paces, like a man that’s sent Some tedious, dark, unprofitable journey.","to o’ertake a virtue He softly paces, like a man that’s sent Some tedious, dark, unprofitable journey.",0 1 0 1 0 0 1 0 0 0 0 0 0 1 1 1 1,hunting,ethics,movement,consumption,darkness,economics,geography
"a beggar, Dead to all fortunes, honours or their hopes;","a beggar, Dead to all fortunes, honours or their hopes",0 1 1 0 0 1 1 0 0 1,economics,death,social status,recognition,emotions,,
setting by All modesty of blood thou begged’st a jewel of him.,setting by All modesty of blood thou begged’st a jewel of him.,1 1 0 1 0 1 0 1 0 1 0 0,privation,character traits & nature,anatomy,economics,,,
He [rival] is some ape: ,He [rival] is some ape ,1 1 0 0 1,social relations,animals,,,,,
"the husk falls from him now, And you shall know his inside.","the husk falls from him now, And you shall know his inside.",0 1 1 0 0 0 0 0 0 1 0 1,nature,consumption,mental faculty & state,spatial,,,
He’s received this night Into her bosom.,He’s received this night Into her bosom.,0 1 0 0 1 0 1,sexuality,spatial,anatomy,,,,
I feel a whirlwind in me Ready to tear the frame of my mortality.,I feel a whirlwind in me Ready to tear the frame of my mortality.,0 1 0 1 1 0 0 0 1 0 1 0 0 1,feelings,nature,spatial,violence,anatomy,life,
Tainted my hearing with lascivious sounds;,Tainted my hearing with lascivious sounds,1 0 1 0 1 1,cleaning,sensations,sexuality,sounds,,,
’Tis springtide in my gall. All my blood’s bitter,’Tis springtide in my gall. All my blood’s bitter,0 1 0 0 1 0 0 1 1,nature,anatomy,food,,,,
I’m lost by violence through all my senses.,I’m lost by violence through all my senses.,0 1 0 1 0 0 0 1,privation,violence,sensations,,,,
I’m blind with rage.,I’m blind with rage.,0 1 0 1,deformities,emotions,,,,,
"I tread in air, and see no foot nor path; ","I tread in air, and see no foot nor path ",0 1 0 1 0 1 0 1 0 1,movement,nature,sensations,anatomy,spatial,,
"I’ve lost myself, yet cannot lose my wrath.","I’ve lost myself, yet cannot lose my wrath.",0 1 1 0 0 1 0 1,privation,character traits & nature,emotions,,,,
"I hate him, As beauty abhors years, ","I hate him, As beauty abhors years, ",0 1 0 0 1 1 1,emotions,appearance,time,,,,
"[I hate him, As] or usurers charity.","[I hate him, As] or usurers charity.",0 1 0 0 0 1 1,emotions,economics,assistance,,,,
"a leper Full of sin’s black infection, foul adultery.","a leper Full of sin’s black infection, foul adultery.",0 1 0 0 1 1 1 1 1,medicine,religion,colors,ethics,sexuality,,
"starve in my disdain,","starve in my disdain,",1 0 0 1,food,derision,,,,,
"a league With desolate darkness, and disconsolate fancies.","a league With desolate darkness, and disconsolate fancies.",0 1 0 1 1 0 1 1,politics,social relations,darkness,emotions,mental faculty & state,,
There is no music in my soul,There is no music in my soul,0 0 0 1 0 0 1,music,religion,,,,,
"all my servants’ faiths Sleep in my bounty, ","all my servants’ faiths Sleep in my bounty, ",0 0 1 1 1 0 0 1,social status,devotion,sleeping,character traits & nature,,,
and no bribes nor threats Can wake ’em from my safety?,and no bribes nor threats Can wake ’em from my safety?,0 0 1 0 1 0 1 0 0 0 1,economics,violence,social status,sleeping,danger,,
"Yet heaviness, like a tyrant, proud in night, Usurps my power, rules where it hath no right.","Yet heaviness, like a tyrant, proud in night, Usurps my power, rules where it hath no right.",0 1 0 0 1 1 0 1 1 0 1 1 0 0 0 0 1,weight,politics,character traits & nature,darkness,social relations,,
Pleasures once tasted makes the next seem worse.,Pleasures once tasted makes the next seem worse.,1 0 1 0 0 0 1 1,sexuality,food,appearance,,,,
Cunning discoverer of an unknown beauty As subtle as her plot. ,Cunning discoverer of an unknown beauty As subtle as her plot. ,1 1 0 0 1 1 0 1 0 0 1,deception,discovering,mental faculty & state,appearance,character traits & nature,,
Play the flatterer,Play the flatterer,1 0 1,theatre,recognition,,,,,
"With this [light] I taste of that forbidden fruit Which, as she says, death follows;","With this [light] I taste of that forbidden fruit Which, as she says, death follows",0 1 1 0 1 0 0 1 1 0 0 0 0 1 0,light,food,judiciary,death,,,
"that can be in man’s wish comprised Is in thy love immortal, in thy graces!","that can be in man’s wish comprised Is in thy love immortal, in thy graces!",0 0 0 0 1 1 0 0 0 0 1 1 0 0 1,men,mental faculty & state,emotions,death,character traits & nature,,
I am not the same flesh; my touch is altered. ,I am not the same flesh my touch is altered. ,0 0 0 0 0 1 0 1 0 1,anatomy,sensations,transformation,,,,
misery of affection built on breath!,misery of affection built on breath!,1 0 1 1 0 1,suffering,affection,architecture,breathing,,,
"[drawn in pieces] betwixt love and fear,","[drawn in pieces] betwixt love and fear,",1 1 1 1 1 0 1,violence,spatial,emotions,,,,
Her wisdom is as pleasing as her beauty.,Her wisdom is as pleasing as her beauty.,0 1 0 0 1 0 0 1,character traits & nature,feelings,appearance,,,,
"affection hastier born, With more true art and less suspicion.","affection hastier born, With more true art and less suspicion.",1 1 1 0 1 0 1 0 1 1,affection,speed,reproduction,quantities,mental faculty & state,,
"I do repent me, With heart as penitent as a man dissolving,","I do repent me, With heart as penitent as a man dissolving,",0 0 1 0 0 1 0 1 0 0 0 1,religion,anatomy,consumption,,,,
"my sins, born with me, and born of me, ","my sins, born with me, and born of me, ",0 1 1 0 0 0 1 0 0,religion,reproduction,,,,,
Fly to thy wish!,Fly to thy wish!,1 0 0 1,animals,mental faculy & state,,,,,
Man in a twinkling is in earth and heaven.,Man in a twinkling is in earth and heaven.,1 0 0 1 0 0 1 0 1,humanity,light,nature,religion,,,
sent him forth [to death] like a celestial champion.,sent him forth [to death] like a celestial champion.,1 0 0 0 1 0 0 1 1,commands,death,religion,social relations,,,
to taste more deaths than one.,to taste more deaths than one.,0 1 1 1 0 1,food,quantities,death,,,,
"Had any warning fast’ned on thy senses,","Had any warning fast’ned on thy senses,",0 0 1 1 0 0 1,danger,adhesion,sensations,,,,
for our fears we should our comforts kill!,for our fears we should our comforts kill!,0 0 1 0 0 0 1 1,emotions,feelings,violence,,,,
"I’m confounded everlastingly, Damned to a thousand tortures in that sight","I’m confounded everlastingly, Damned to a thousand tortures in that sight",0 1 1 1 0 0 1 1 0 0 1,mental faculty & state,time,religion,quantities,violence,sensations,
A subtlety no devil can imitate.,A subtlety no devil can imitate.,0 1 0 1 0 1,deception,religion,art,,,,
The deed [murder] is not so monstrous in itself As is the art which ponders home the deed.,The deed [murder] is not so monstrous in itself As is the art which ponders home the deed.,0 1 1 0 0 0 1 0 0 0 0 0 1 0 1 1 0 1,violence,deformities,deception,mental faculty & state,domestic,,
those left hands give me; Thou hast no right at all.,those left hands give me Thou hast no right at all.,0 1 1 0 0 0 0 0 1 0 0,spatial,anatomy,ethics,,,,
"Mystical strumpet,","Mystical strumpet,",1 1,mystical,sexuality,,,,,
I looked for gracious lightning from thy cheeks,I looked for gracious lightning from thy cheeks,0 1 1 1 1 0 0 1,discovering,religion,nature,anatomy,,,
here lies a witness ’gainst myself Sooner believed than all their hirèd faiths.,here lies a witness ’gainst myself Sooner believed than all their hirèd faiths.,0 1 0 1 0 0 0 1 0 0 0 1 1,death,judiciary,mental faculty & state,economics,devotion,,
The lingering execution of your look; ,The lingering execution of your look ,0 0 1 0 0 1,violence,sensations,,,,,
[Let me not] live tormented in that brow.,[Let me not] live tormented in that brow.,1 1 1 1 1 0 0 1,resistance,life,violence,facial expressions,,,
All witnesses to this [adultery] were but dead flesh; ,All witnesses to this [adultery] were but dead flesh ,0 1 0 1 1 0 0 1 1,judiciary,sexuality,death,anatomy,,,
All [the deceptive devices] stick in mine eye together. ,All [the deceptive devices] stick in mine eye together. ,1 1 1 1 1 0 0 1 1,deception,violence,anatomy,,,,
Thou shalt not die as long as this [corpse] is meat. ,Thou shalt not die as long as this [corpse] is meat. ,0 0 0 1 0 1 0 1 1 1 1,death,time,food,,,,
Thou killed’st a buck which thou thyself shalt eat.,Thou killed’st a buck which thou thyself shalt eat.,0 1 0 1 0 0 0 0 1,violence,animals,food,,,,
Here’s deer struck dead with thy own hand; ’Tis venison for thy own tooth. ,Here’s deer struck dead with thy own hand ’Tis venison for thy own tooth. ,0 1 1 1 0 0 0 1 0 1 0 0 0 1,animals,violence,anatomy,food,,,
Thou know’st the relish: A dearer place hath been thy taster. ,Thou know’st the relish A dearer place hath been thy taster. ,0 1 0 1 0 1 1 0 0 0 1,mental faculty & state,food,economics,spatial,,,
with a thousand deaths presented him Ere he had tasted one.,with a thousand deaths presented him Ere he had tasted one.,0 0 1 1 1 0 1 0 0 1 1,quantities,death,appearance,time,food,,
"If there be hell for sins that men commit, Marry a strumpet and she keeps the pit. ","If there be hell for sins that men commit, Marry a strumpet and she keeps the pit. ",0 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1,religion,men,matrimony,sexuality,incarceration,,
My ominous dreams and fearful dreadfulness Promised this issue long before ’twas born.,My ominous dreams and fearful dreadfulness Promised this issue long before ’twas born.,0 1 1 0 1 1 1 0 1 1 1 0 1,ethics,mental faculty & state,emotions,language,familial,time,reproduction
"I were full safe had I Roxano’s [servant] life, Which in this stream I fish for.","I were full safe had I Roxano’s [servant] life, Which in this stream I fish for.",0 0 0 1 0 0 1 1 1 0 0 0 1 0 1 0,danger,social status,life,nature,hunting,,
Under the earth were safer and far happier.,Under the earth were safer and far happier.,1 0 1 0 1 0 0 1,spatial,nature,danger,emotions,,,
prize your glories at so mean a rate?,prize your glories at so mean a rate?,1 0 1 0 0 1 0 1,economics,recognition,,,,,
betrayed me to the fury Of my tempestuous unappeasèd lord.,betrayed me to the fury Of my tempestuous unappeasèd lord.,1 0 0 0 1 0 0 1 1 1,social relations,emotion,nature,matrimony,,,
"for that guilt, Though ’twere as far to’s heart as ’tis to th’ hilt.","for that guilt, Though ’twere as far to’s heart as ’tis to th’ hilt.",0 0 1 0 0 0 1 0 1 0 0 0 0 1,judiciary,spatial,anatomy,weapons,,,
Such things [villainies] must never creep about the earth To poison the right use of service ,Such things [villainies] must never creep about the earth To poison the right use of service ,0 1 1 0 0 1 0 0 1 0 1 0 1 1 0 1,ethics,movement,nature,medicine,etiquette,devotion,
Here’s a perplexèd breast,Here’s a perplexèd breast,0 0 1 1,mental faculty & state,anatomy,,,,,
"I threat not angels, ","I threat not angels, ",0 1 0 1,danger,religion,,,,,
though I smite the devil:,though I smite the devil,0 0 1 0 1,violence,religion,,,,,
"no other food thy taste shall have, Till in thy bowels those corpse find a grave.","no other food thy taste shall have, Till in thy bowels those corpse find a grave.",0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 1,food,anatomy,death,,,,
"Hath thy fate proved so flinty, so perverse, To the sweet spring both of thy youth and hopes?","Hath thy fate proved so flinty, so perverse, To the sweet spring both of thy youth and hopes?",0 0 1 0 0 1 0 1 0 0 1 1 0 0 0 1 0 1,mystical,materials,ethics,nature,life's cycle,emotions,
his own plot shall shower Upon his bosom like a falling tower.,his own plot shall shower Upon his bosom like a falling tower.,0 0 1 0 1 0 0 1 0 0 1 1,deception,nature,anatomy,architecture,destruction,,
"run my hate Into the sin before it grew to act [sex], And killed it ere't had knotted.","run my hate Into the sin before it grew to act [sex], And killed it ere't had knotted.",1 0 1 1 0 1 1 0 1 0 1 1 0 1 0 1 0 1,violence,emotions,religion,time,transformation,sexuality,clothes
In manly temper and considerate blood: went he the way of loyalty or your quiet,In manly temper and considerate blood went he the way of loyalty or your quiet,0 1 1 0 1 1 1 0 0 1 0 1 0 0 1,men,character traits & nature,anatomy,movement,spatial,devotion,feelings
"What makes it [treason] heinous, burdensome and monstrous, Fills you with such distractions, ","What makes it [treason] heinous, burdensome and monstrous, Fills you with such distractions, ",0 0 1 1 1 1 0 1 0 0 0 0 1,politics,emotions,suffering,deformities,mental faculty & state,,
"([treason] heinous, burdensome and monstrous) breeds such furies In your incensèd breast,","([treason] heinous, burdensome and monstrous) breeds such furies In your incensèd breast,",1 1 1 0 1 1 0 1 0 0 1 1,politics,suffering,emotions,deformities,reproduction,fire,anatomy
Thy late service Is warm still in our memory,Thy late service Is warm still in our memory,0 0 1 0 1 0 0 0 1,devotion,temperature,mental faculty & state,,,,
tortures ’bove the thought of tyranny.,tortures ’bove the thought of tyranny.,1 1 0 1 0 1,violence,spatial,mental faculty & state,politics,,,
’Tis such a high born rapture that the soul Partakes it only.,’Tis such a high born rapture that the soul Partakes it only.,0 0 0 1 1 1 0 0 1 0 0 0,social status,feelings,religion,,,,
Was there none fit to practise tyranny on But whom our heart elected?,Was there none fit to practise tyranny on But whom our heart elected?,0 0 0 1 0 0 1 0 0 0 0 1 1,etiquette,politics,anatomy,mental faculty & state,,,
at his everlasting home.,at his everlasting home.,0 0 1 1,time,accommodation,,,,,
I wrought a bitter pill that quickly choked him.,I wrought a bitter pill that quickly choked him.,0 1 0 1 1 0 1 1 0,labor,food,medicine,violence,,,
